"sampleID","patient","type","A2ML1"
"TCGA-91-6830-01A","TCGA-91-6830","tumor",68.9655
"TCGA-91-6831-01A","TCGA-91-6831","tumor",0.7718
"TCGA-91-6835-01A","TCGA-91-6835","tumor",3.6117
"TCGA-91-6836-01A","TCGA-91-6836","tumor",0
"TCGA-91-6840-01A","TCGA-91-6840","tumor",1.5282
"TCGA-91-6847-01A","TCGA-91-6847","tumor",0
"TCGA-91-6848-01A","TCGA-91-6848","tumor",0.8375
"TCGA-91-6849-01A","TCGA-91-6849","tumor",6.6741
"TCGA-91-7771-01A","TCGA-91-7771","tumor",0
"TCGA-91-8496-01A","TCGA-91-8496","tumor",0
"TCGA-91-8497-01A","TCGA-91-8497","tumor",1.3238
"TCGA-91-8499-01A","TCGA-91-8499","tumor",0
"TCGA-91-A4BC-01A","TCGA-91-A4BC","tumor",1.9582
"TCGA-91-A4BD-01A","TCGA-91-A4BD","tumor",0
"TCGA-93-7347-01A","TCGA-93-7347","tumor",11.655
"TCGA-93-7348-01A","TCGA-93-7348","tumor",6.6045
"TCGA-93-8067-01A","TCGA-93-8067","tumor",0.5697
"TCGA-93-A4JN-01A","TCGA-93-A4JN","tumor",0.8313
"TCGA-93-A4JO-01A","TCGA-93-A4JO","tumor",13.5983
"TCGA-93-A4JP-01A","TCGA-93-A4JP","tumor",125.996
"TCGA-93-A4JQ-01A","TCGA-93-A4JQ","tumor",353.095
"TCGA-95-7039-01A","TCGA-95-7039","tumor",0.7143
"TCGA-95-7043-01A","TCGA-95-7043","tumor",0.7839
"TCGA-95-7562-01A","TCGA-95-7562","tumor",13.465
"TCGA-95-7567-01A","TCGA-95-7567","tumor",0
"TCGA-95-7944-01A","TCGA-95-7944","tumor",4.0264
